site,sampleID,interval,rmcd,d13C,d18O
1168A,25X2W,121–123,226.72,0.75,1.9
1168A,25X2W,121–123,226.72,1.84,1.66
1168A,25X3W,60–62,227.61,1.01,2.45
1168A,25X5W,60–62,230.61,0.98,2.15
1168A,25X5W,60–62,230.61,0.92,1.79
1168A,25X6W,60–62,232.11,1.29,2.3
1168A,26X1W,60–62,233.61,0.98,1.99
1168A,26X1W,60–62,233.61,0.91,2.11
1168A,26X1W,60–62,233.61,0.9,1.94
1168A,26X1W,60–62,233.61,0.86,2.08
1168A,26X1W,60–62,233.61,0.72,1.78
1168A,26X2W,60–62,235.11,0.83,2.12
1168A,26X2W,60–62,235.11,0.78,2.15
1168A,26X2W,60–62,235.11,0.95,1.89
1168A,26X2W,60–62,235.11,0.87,2.22
1168A,26X2W,60–62,235.11,0.71,1.68
1168A,26X2W,60–62,235.11,0.77,1.87
1168A,26X2W,60–62,235.11,0.98,1.84
1168A,26X2W,60–62,235.11,0.85,2.16
1168A,26X2W,60–62,235.11,0.86,2.23
1168A,26X3W,60–62,236.61,0.94,1.87
1168A,26X3W,60–62,236.61,0.77,1.64
1168A,26X3W,60–62,236.61,0.87,1.89
1168A,26X5W,60–62,238.11,1.07,1.77
1168A,26X5W,60–62,238.11,0.88,1.62
1168A,26X5W,60–62,238.11,0.94,1.62
1168A,26X5W,60–62,238.11,0.97,1.63
1168A,26X4W,65–67,238.16,1.19,2
1168A,26X6W,60–62,241.11,1.01,2.03
1168A,26X6W,60–62,241.11,1.41,1.7
1168A,27X2W,60–62,244.95,1.5,2.16
1168A,27X2W,60–62,244.95,1.31,2.2
1168A,27X2W,60–62,244.95,1.63,2.18
1168A,27X2W,60–62,244.95,1.48,2.21
1168A,27X2W,60–62,244.95,1.36,2.12
1168A,27X2W,60–62,244.95,1.38,2.15
1168A,27X2W,60–62,244.95,1.52,2.12
1168A,27X2W,65–67,245,1.34,2.17
1168A,27X2W,65–67,245,1.39,2.1
1168A,27X2W,65–67,245,1.26,1.79
1168A,27X2W,65–67,245,1.51,2.15
1168A,27X2W,65–67,245,1.4,2.19
1168A,27X2W,65–67,245,1.48,2.06
1168A,27X2W,65–67,245,1.61,1.87
1168A,27X3W,60–62,246.45,1.12,1.71
1168A,27X4W,60–62,247.95,1.08,1.23
1168A,27X4W,60–62,247.95,1.05,1.4
1168A,27X4W,60–62,247.95,0.87,1.09
1168A,27X4W,60–62,247.95,1.18,1.7
1168A,27X4W,60–62,247.95,1.15,1.6
1168A,27X4W,60–62,247.95,1.24,1.45
1168A,27X5W,60–62,249.54,1.27,1.47
1168A,27X5W,60–62,249.54,1.33,1.69
1168A,27X6W,60–62,250.95,1.56,1.73
1168A,27X6W,60–62,250.95,1.44,1.66
1168A,28X1W,60–62,253.38,1,1.31
1168A,28X4W,60–62,257.8,1.34,1.47
1168A,28X4W,60–62,257.8,1.36,1.76
1168A,28X4W,60–62,257.8,1.39,1.65
1168A,28X4W,60–62,257.8,1.37,1.15
1168A,28X5W,60–62,259.3,0.94,1.27
1168A,28X5W,60–62,259.3,0.95,1.09
1168A,28X5W,60–62,259.3,1.03,1.39
1168A,28X5W,60–62,259.3,0.88,0.82
1168A,29X2W,60–62,263.71,1.1,1.28
1168A,29X2W,60–62,263.71,0.96,1.27
1168A,29X4W,60–62,266.71,0.79,1.27
1168A,29X4W,60–62,266.71,0.85,1.58
1168A,29X4W,60–62,266.71,0.89,1.54
1168A,29X4W,86–88,266.97,1.07,1.21
1168A,29X4W,86–88,266.97,1.03,1.14
1168A,29X4W,86–88,266.97,0.95,0.98
1168A,29X5W,60–62,268.21,1.26,1.53
1168A,29X5W,60–62,268.21,1.21,1.69
1168A,29X5W,60–62,268.21,1.16,1.54
1168A,29X5W,60–62,268.21,1.23,1.6
1168A,29X6W,60–62,269.71,0.97,1.37
1168A,29X6W,60–62,269.71,1.1,1.3
1168A,29X6W,60–62,269.71,1.04,1.5
1168A,29X6W,60–62,269.71,0.94,1.41
1168A,30X1W,20–25,271.64,1.6,1.6
1168A,30X2W,20–25,273.14,1.94,1.68
1168A,30X3W,20–25,274.64,1.32,1.29
1168A,30X4W,20–25,276.14,1.42,1.1
1168A,30X5W,20–25,277.64,1.43,1.31
1168A,30X6W,20–25,279.14,0.96,1.01
1168A,30X7W,20–25,280.14,1.23,1.19
1168A,31X1W,20–25,281,1.06,1.27
1168A,31X2W,20–25,282.5,0.88,1.4
1168A,31X3W,20–25,284,0.43,0.97
1168A,31X5W,20–25,287,0.79,1.61
1168A,31X6W,20–25,288.5,0.7,1.58
1168A,31X7W,20–25,290,0.82,1.83
1168A,32X1W,20–25,291.21,-0.07,1.07
1168A,32X2W,20–25,292.71,-0.26,1.25
1168A,32X3W,20–25,294.21,0.41,1.61
1168A,32X4W,20–25,295.71,0.39,1.29
1168A,32X5W,20–25,297.21,-0.09,1.49
1168A,32X6W,20–25,298.71,0.11,1.45
1168A,32X7W,20–25,299.71,1.47,0.43
1168A,33X1W,20–25,300.9,1.91,0.48
1168A,33X2W,20–25,302.4,0.98,0.91
1168A,33X3W,20–25,303.9,0.64,1.02
1168A,33X4W,20–25,305.4,0.87,1.22
1168A,33X5W,20–25,306.9,-0.07,1.58
1168A,33X6W,20–25,308.4,-4.49,1.64
1168A,34X1W,20–25,310.26,-0.14,1.54
1168A,34X2W,20–25,311.76,0.19,1.74
1168A,34X3W,20–25,313.26,-0.19,1.47
1168A,35X1W,20–25,320.2,-0.32,1.33
1168A,35X3W,20–25,323.2,-0.13,1.84
1168A,35X4W,20–25,324.7,-2.15,1.5
1168A,35X6W,20–25,327.7,0.83,1.37
1168A,36X1W,20–25,329.83,0.79,1.52
1168A,36X3W,20–25,332.83,-0.42,1.58
1168A,36X4W,20–25,334.33,0.81,1.09
1168A,36X5W,20–25,335.83,-0.08,1.77
1168A,36X7W,20–25,338.83,-0.36,1.56
1168A,37X1W,20–25,339.8,0.35,1.97
1168A,37X2W,20–25,341.3,-0.54,2.2
1168A,37X3W,20–25,342.8,-1.63,1.56
1168A,37X4W,20–25,344.3,-0.22,1.1
1168A,37X5W,20–25,345.8,0.57,1.95
1168A,37X6W,20–25,347.3,0.29,1.77
1168A,37X7W,20–25,348.8,-0.13,1.43
1168A,38X2W,20–22,351.14,0.45,1.59
1168A,38X3W,20–22,352.64,-0.14,1.32
1168A,38X4W,20–22,354.14,0.12,1.38
1168A,38X5W,20–22,355.64,0.12,1.68
1168A,38X6W,20–22,357.14,0.16,1.37
1168A,39X1W,20–22,359.24,-0.35,1.38
1168A,39X2W,20–22,360.74,0.98,1.45
1168A,39X3W,20–22,362.24,0.36,1.62
1168A,39X5W,20–22,365.24,0.44,1.63
1168A,39X7W,20–22,367.96,0.52,1.74
1168A,40X1W,20–22,368.77,0.3,1.71
1168A,40X1W,60–62,369.17,0.11,1.37
1168A,40X1W,95–97,369.52,-0.29,0.92
1168A,40X2W,20–22,370.27,-0.16,1.29
1168A,40X2W,60–62,370.67,-0.84,1.34
1168A,40X2W,95–97,371.02,-0.79,1.05
1168A,40X3W,62–64,372.19,0.4,1.64
1168A,40X3W,95–97,372.52,0.5,1.3
1168A,40X3W,95–97,372.52,0.56,1.38
1168A,40X4W,20–22,373.27,0.18,1.9
1168A,40X4W,62–64,373.69,0.32,1.52
1168A,40X4W,95–97,374.02,-0.13,1.35
1168A,40X5W,20–22,374.77,0.58,1.66
1168A,40X5W,58–60,375.15,0.4,1.17
1168A,40X6W,20–22,376.27,0.24,1.39
1168A,40X6W,58–60,376.65,0.31,1.17
1168A,40X6W,95–97,377.02,0.1,1.34
1168A,41X1W,20–22,378.5,1.03,1.03
1168A,41X1W,62–64,378.92,0.32,1.36
1168A,41X1W,62–64,378.92,0.32,1.43
1168A,41X2W,20–22,380,-0.01,1.39
1168A,41X2W,58–60,380.38,-0.63,1.13
1168A,41X2W,95–97,380.75,0.32,1.41
1168A,41X3W,20–22,381.5,0.55,1.69
1168A,41X3W,59–61,381.89,0.43,1.67
1168A,41X4W,20–22,383,-0.24,1.19
1168A,41X4W,95–97,383.75,0.11,1.26
1168A,41X5W,20–22,384.5,0.51,1.45
1168A,41X5W,58–60,384.88,-0.24,1
1168A,41X6W,20–22,386,0.52,1.5
1168A,41X6W,58–60,386.38,0.53,1.6
1168A,41X6W,95–97,386.75,0.37,1.4
1168A,41X7W,20–22,387.2,0.2,1.44
1168A,41X7W,40–42,387.4,-0.08,1.23
1168A,42X1W,20–22,388.35,0.49,2.18
1168A,42X1W,58–60,388.73,0.08,1.11
1168A,42X1W,58–60,388.73,0.1,1.14
1168A,42X1W,95–97,389.1,0.83,1.34
1168A,42X2W,20–22,389.85,-0.56,1.16
1168A,42X2W,58–60,390.23,0.34,1.31
1168A,42X2W,95–97,390.6,-0.03,0.95
1168A,42X3W,20–22,391.35,0.01,1.59
1168A,42X3W,58–60,391.73,0.54,1.26
1168A,42X3W,95–97,392.1,0.52,1.18
1168A,42X4W,20–22,392.85,0.49,2
1168A,42X4W,95–97,393.6,-0.6,0.77
1168A,42X5W,58–60,394.73,-0.38,1.21
1168A,42X5W,95–97,395.1,0.64,1.62
1168A,42X6W,95–97,396.6,1.16,1.36
1168A,42X7W,37–39,397.52,0.17,1.43
1168A,43X1W,57–59,398.48,-0.49,1.44
1168A,43X1W,95–97,398.86,0.68,1.66
1168A,43X2W,20–22,399.61,0.88,2.44
1168A,43X2W,58–60,399.99,0.75,1.53
1168A,43X2W,95–97,400.36,1,1.4
1168A,43X3W,20–22,401.11,0.85,1.93
1168A,43X3W,58–60,401.49,1.22,0.75
1168A,43X3W,95–97,401.86,0.62,1.49
1168A,43X4W,20–22,402.61,0.51,1.53
1168A,43X4W,95–97,403.36,0.82,1.33
1168A,43X4W,95–97,403.36,0.77,1.38
1168A,43X5W,20–22,404.11,1,1.96
1168A,43X5W,95–97,404.86,0.65,1.53
1168A,43X6W,95–97,406.36,0.14,1.27
1168A,43X6W,59–61,406.75,0.99,1.68
1168A,44X1W,2–4,407.57,1.93,-0.99
1168A,44X1W,40–42,407.95,0.74,1.32
1168A,44X1W,58–60,408.13,0.7,1.07
1168A,44X1W,80–82,408.35,0.22,1.07
1168A,44X1W,95–97,408.5,0.13,0.86
1168A,44X1W,120–122,408.75,1.16,1.66
1168A,44X1W,140–142,408.95,0.78,1.78
1168A,44X2W,2–4,409.07,0.94,1.74
1168A,44X2W,2–4,409.07,0.96,1.75
1168A,44X2W,20–22,409.25,1.23,2.39
1168A,44X2W,40–42,409.45,1.03,1.71
1168A,44X2W,95–97,410,0.83,1.3
1168A,44X2W,140–142,410.45,0.3,1.35
1168A,44X3W,2–4,410.57,-0.84,1.35
1168A,44X3W,20–22,410.75,0.8,1.29
1168A,44X3W,40–42,410.95,0.5,1.47
1168A,44X3W,56–58,411.11,0.6,1.39
1168A,44X3W,96–98,411.51,0.87,1.13
1168A,44X3W,120–122,411.75,0.69,1.44
1168A,44X4W,40–42,412.45,0.69,1.22
1168A,44X4W,60–62,412.65,0.65,1.51
1168A,44X4W,94–96,412.99,0.37,0.99
1168A,44X4W,94–96,412.99,0.25,1.07
1168A,44X5W,20–22,413.75,0.71,1.27
1168A,44X5W,58–60,414.13,0.41,1.5
1168A,44X5W,80–82,414.35,0.53,1.33
1168A,44X5W,95–97,414.5,-0.24,1.38
1168A,44X6W,20–22,415.25,2.36,3.17
1168A,44X6W,95–97,416,0.81,1.68
1168A,45X1W,19–21,417.19,1.02,2.27
1168A,45X1W,78–80,417.78,0.8,1.69
1168A,45X1W,95–97,417.95,0.56,1.7
1168A,45X1W,120–122,418.2,0.61,1.46
1168A,45X1W,140–142,418.4,-0.05,1.48
1168A,45X2W,95–97,419.45,0.35,1.39
1168A,45X2W,95–97,419.45,0.35,1.43
1168A,45X3W,2–4,420.02,0.7,1.39
1168A,45X3W,39–41,420.39,0.65,1.45
1168A,45X3W,61–63,420.61,0.93,1.52
1168A,45X3W,120–122,421.2,0.69,1.85
1168A,45X3W,140–142,421.4,0.52,1.87
1168A,45X4W,20–22,421.7,1.58,3.07
1168A,45X4W,61–63,422.11,1.27,0.58
1168A,45X4W,80–82,422.3,0.75,0.92
1168A,45X4W,95–97,422.45,0.74,1.39
1168A,45X4W,120–122,422.8,0.86,1.13
1168A,45X4W,140–142,423,0.9,1.44
1168A,45X5W,20–22,423.2,1.18,2.07
1168A,45X5W,40–42,423.4,0.84,1.21
1168A,45X5W,59–61,423.59,0.94,1.36
1168A,45X5W,80–82,423.8,0.7,1.19
1168A,45X5W,95–97,423.95,0.59,1.22
1168A,45X5W,140–142,424.4,0.99,1.34
1168A,45X6W,2–4,424.52,0.92,1.33
1168A,45X6W,58–60,425.08,0.71,1.13
1168A,45X6W,80–82,425.3,0.74,0.86
1168A,45X6W,95–97,425.45,0.7,1.4
1168A,45X6W,95–97,425.45,0.92,1.64
1168A,45X6W,95–97,425.45,0.95,1.68
1168A,45X7W,2–4,426.02,0.68,1.48
1168A,45X7W,21–23,426.21,0.58,2
1168A,45XCCW,2–4,426.45,0.71,1.3
1168A,46X1W,2–4,427.12,1,1.72
1168A,46X1W,20–23,427.3,1.88,1.19
1168A,45XCCW,40–42,427.33,0.71,1.43
1168A,46X1W,60–62,427.7,0.95,1.74
1168A,46X1W,80–82,427.9,1.1,1.88
1168A,46X1W,93–96,428.03,0.61,1.19
1168A,46X1W,93–96,428.03,0.63,1.25
1168A,46X1W,120–122,428.3,0.66,1.37
1168A,46X2W,19–22,428.79,1.03,1.2
1168A,46X2W,60–62,429.2,0.79,1.27
1168A,46X2W,82–84,429.42,0.9,1.08
1168A,46X2W,95–98,429.55,0.72,0.52
1168A,46X2W,95–98,429.55,0.77,0.62
1168A,46X2W,140–142,430,1,1.76
1168A,46X3W,19–22,430.29,0.71,1.74
1168A,46X3W,95–98,431.05,0.36,1.77
1168A,46X3W,140–142,431.5,0.94,1.77
1168A,46X4W,60–62,432.2,1.06,1.78
1168A,46X4W,140–142,433,1.11,1.76
1168A,46X5W,19–22,433.29,1.21,1.69
1168A,46X5W,40–42,433.6,1.19,1.85
1168A,46X5W,94–97,434.04,1.1,1.66
1168A,46X6W,19–22,434.79,0.49,1.38
1168A,46X6W,60–62,435.2,1,1.68
1168A,46X6W,80–82,435.4,1.22,1.81
1168A,46X6W,96–99,435.56,0.74,1.66
1168A,46X6W,120–122,435.8,1.08,1.51
1168A,46X6W,140–142,436,1.15,1.73
1168A,46X7W,33–36,436.43,0.99,1.47
1168A,47X1W,2–4,436.72,0.99,1.72
1168A,46XCCW,30–32,436.83,1.19,1.7
1168A,47X1W,38–40,437.37,1.18,1.69
1168A,47X1W,62–64,437.61,0.98,1.75
1168A,47X1W,78–80,437.77,0.97,1.67
1168A,47X1W,95–97,437.94,0.97,1.67
1168A,47X1W,95–97,437.94,1.05,1.77
1168A,47X1W,95–97,437.94,1.07,1.8
1168A,47X2W,95–97,439.44,0.98,1.89
1168A,47X3W,20–22,440.19,0.91,1.69
1168A,47X3W,20–22,440.19,0.75,1.73
1168A,47X3W,95–97,440.94,0.68,1.64
1168A,47X4W,95–97,442.44,0.69,1.4
1168A,47X5W,20–22,443.19,0.87,1.33
1168A,47X5W,95–97,443.94,0.65,1.26
1168A,47X6W,20–22,444.69,0.74,1.12
1168A,47X6W,95–97,445.44,0.84,1.14
1168A,48X1W,20–22,446.96,0.82,1.63
1168A,48X1W,95–97,447.71,0.92,1.76
1168A,48X2W,20–22,448.46,0.75,1.29
1168A,48X2W,58–60,448.84,1.23,0.7
1168A,48X2W,95–97,449.21,-0.8,1.51
1168A,48X4W,58–60,451.84,0.12,0.92
1168A,48X4W,95–97,452.21,0.3,1.38
1168A,48X5W,95–97,453.71,-0.13,1.12
1168A,48X6W,95–97,455.21,0.08,0.92
1168A,49X2W,95–97,458.95,0.43,1.3
1168A,49X3W,95–97,460.45,0.55,1
1168A,49X5W,95–97,463.45,0.46,0.83
1168A,50X1W,95–97,467.15,0.5,0.82
1168A,50X1W,95–97,467.15,0.54,0.95
1168A,50X2W,95–97,468.65,0.17,1.49
1168A,50X3W,95–97,470.15,0.01,1.11
1168A,50X4W,95–97,471.65,0.01,1.17
1168A,50X4W,95–97,471.65,0.02,1.2
1168A,50X6W,95–97,474.65,-0.05,1
1168A,77X1W,20–22,721.68,1.62,0.53
1168A,77X1W,60–62,722.08,2.19,0.82
1168A,77X2W,20–22,723.18,2,0.71
1168A,77X2W,60–62,723.58,1.39,0.74
1168A,77X3W,20–22,724.68,1.7,0.42
1168A,77X3W,60–62,725.08,1.66,0.54
1168A,77X4W,20–22,726.18,1.68,0.7
1168A,77X4W,60–62,726.58,-1.7,-0.11
1168A,77X5W,20–22,727.68,1.67,0.35
1168A,77X5W,60–62,728.08,0.74,0.07
1168A,77X6W,20–22,729.18,1.29,0.71
1168A,77X6W,60–62,729.58,2.08,0.39
1168A,77X7W,20–22,730.68,1.57,0.87
1168A,78X1W,20–22,731.84,1.6,0.6
1168A,78X2W,20–22,732.29,1.69,0.49
1168A,78X2W,60–62,732.69,1.53,0.71
1168A,78X3W,20–22,733.79,1.33,0.65
1168A,78X3W,60–62,734.19,1.48,0.4
1168A,78X4W,20–22,735.29,1.6,0.37
1168A,78X4W,60–62,735.69,2.1,0.76
1168A,78X5W,20–22,736.79,2.08,0.97
1168A,78X5W,60–62,737.19,2.11,0.95
1168A,78X6W,20–22,738.29,2.14,0.82
1168A,78X6W,60–62,738.69,1.81,0.91
1168A,78X7W,20–22,739.79,1.61,0.67
1168A,78X7W,60–62,740.19,1.55,0.7
1168A,78X8W,20–22,740.89,1.47,0.13
1168A,79X1W,21–23,741.9,1.27,0.68
1168A,79X1W,57–59,742.27,0.9,0.62
1168A,79X2W,20–22,743.4,1.56,0.21
1168A,79X2W,60–62,743.8,1.05,0.45
1168A,79X3W,20–22,744.9,1.46,0.36
1168A,79X4W,20–22,746.4,-2.1,1.01
1168A,79X4W,60–62,746.8,-3.43,1.03
1168A,79X5W,20–22,747.9,2.01,0.14
1168A,79X5W,60–62,748.3,1.21,0.25
1168A,79X6W,21–23,749.41,-1.95,0.18
1168A,79X6W,60–62,749.8,0.72,0.04
1168A,79X7W,20–22,750.9,1.38,-0.24
1168A,80X1W,20–22,751.71,0.84,-0.32
1168A,80X1W,60–62,752.11,1.39,-0.09
1168A,80X2W,20–22,753.21,0.66,-0.07
1168A,80X2W,60–62,753.61,1.49,-0.17
1168A,80X3W,20–22,754.71,1.44,-0.17
1168A,80X3W,60–62,755.11,1.73,-0.22
1168A,80X4W,20–22,756.21,-1.03,-0.19
1168A,80X4W,60–62,756.61,1.76,-0.05
1168A,80X5W,20–22,757.71,1.82,0.03
1168A,80X5W,60–62,758.11,1.61,-0.12
1168A,80X6W,20–22,759.21,-0.31,-0.03
1168A,80X6W,60–62,759.61,1.38,-0.47
1168A,80X7W,20–22,760.31,1.56,-0.11
1168A,81X1W,20–22,761.35,1.57,-0.16
1168A,81X1W,60–62,761.75,-7.37,0.17
1168A,81X2W,20–22,762.45,1.35,-0.3
1168A,81X2W,60–62,762.85,-1.42,-0.24
1168A,81X3W,20–22,763.95,1.94,-0.34
1168A,81X3W,60–62,764.35,1.57,-0.39
1168A,81X4W,20–22,765.33,-0.63,-2.81
1168A,81X4W,60–62,765.73,-3.05,-3.42
1168A,82X1W,20–22,771.26,1.47,-1.13
1168A,82X5W,20–22,777.26,1.59,-0.48
1168A,82X6W,20–22,778.76,2.12,-0.3
1168A,82X7W,20–22,780.26,2.17,-0.41