site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,2H4W,37–39,14.74,0.56,2.10,,,,,,,,
1168A,2H4W,49–51,14.86,0.71,2.03,,,,,,,,
1168A,2H4W,62–64,14.99,0.88,2.25,,,,,,,,
1168A,2H4W,75–77,15.12,0.62,2.15,,,,,,,,
1168A,2H4W,88–90,15.25,0.55,1.96,,,,,,,,
1168A,2H4W,102–104,15.39,0.52,2.01,,,,,,,,
1168A,2H4W,114–116,15.51,0.63,2.14,,,,,,,,
1168A,2H4W,127–129,15.64,0.45,2.02,,,,,,,,
1168A,2H4W,140–142,15.77,1.07,2.20,,,,,,,,
1168A,2H5W,7–9,15.94,1.12,2.10,,,,,,,,
1168A,2H5W,21–23,16.08,0.95,2.16,,,,,,,,
1168A,2H5W,33–35,16.20,1.10,2.20,,,,,,,,
1168A,2H5W,49–51,16.36,2.12,2.63,,,,,,,,
1168A,2H5W,62–64,16.49,1.46,2.38,,,,,,,,
1168A,2H5W,75–77,16.62,1.81,2.23,,,,,,,,
1168A,2H5W,88–90,16.75,1.35,2.21,,,,,,,,
1168A,2H5W,101–103,16.88,-0.03,2.06,,,,,,,,
1168A,2H5W,114–117,17.01,0.59,2.04,,,,,,,,
1168A,2H5W,127–129,17.14,0.76,1.91,,,,,,,,
1168A,2H5W,140–142,17.27,0.48,1.83,,,,,,,,
1168A,2H6W,8–10,17.45,0.51,2.07,,,,,,,,
1168A,2H6W,23–25,17.60,0.74,1.78,,,,,,,,
1168A,2H6W,36–38,17.73,0.70,1.80,,,,,,,,
1168A,2H6W,50–52,17.87,-0.04,1.92,,,,,,,,
1168A,2H6W,62–64,17.99,-0.01,1.86,,,,,,,,
1168A,2H6W,75–77,18.12,0.03,2.04,,,,,,,,
1168A,2H6W,88–90,18.25,0.83,2.14,,,,,,,,
1168A,2H6W,101–103,18.38,0.50,1.70,,,,,,,,
1168A,2H6W,114–117,18.51,0.48,1.79,,,,,,,,
1168A,2H6W,127–129,18.64,0.46,2.11,,,,,,,,
1168A,2H6W,140–142,18.77,0.44,2.21,,,,,,,,
1168A,2H7W,5–7,18.92,0.82,2.30,,,,,,,,
1168A,2H7W,18–20,19.05,0.74,2.13,,,,,,,,
1168A,2H7W,31.5–33.5,19.19,0.65,1.93,,,,,,,,
1168A,2H7W,43–45,19.30,0.75,2.08,,,,,,,,
1168A,2H7W,57–59,19.44,0.52,1.63,,,,,,,,
1168A,57X3W,92–94,536.06,1.49,1.05,,,,,,,,
1168A,57X3W,97–100,536.11,1.80,1.03,,,,,,,,
1168A,57X3W,102–104,536.16,1.77,1.10,,,,,,,,
1168A,57X3W,107–109,536.21,1.74,0.89,,,,,,,,
1168A,57X3W,113–115,536.27,1.72,0.88,,,,,,,,
1168A,57X3W,118–120,536.32,1.82,0.93,,,,,,,,
1168A,57X3W,122–124.5,536.36,1.91,1.00,,,,,,,,
1168A,57X3W,127.5–130,536.42,1.66,0.93,,,,,,,,
1168A,57X3W,132–134,536.46,1.86,1.06,,,,,,,,
1168A,57X3W,137–139,536.51,1.92,1.18,,,,,,,,
1168A,57X3W,142–144,536.56,2.03,1.24,,,,,,,,
1168A,57X3W,147–149,536.61,1.80,1.20,,,,,,,,
1168A,57X3W,3–5,536.67,1.44,1.25,,,,,,,,
1168A,57X4W,8–12,536.72,1.46,1.28,,,,,,,,
1168A,57X4W,14–16.5,536.78,1.69,1.37,,,,,,,,
1168A,57X4W,18–21,536.82,1.81,1.44,,,,,,,,
1168A,57X4W,23–25,536.87,-0.11,1.08,,,,,,,,
1168A,57X4W,28–30,536.92,1.47,1.11,,,,,,,,
1168A,57X4W,33–35,536.97,0.77,0.86,,,,,,,,
1168A,57X4W,38–40,537.02,0.72,0.82,,,,,,,,
1168A,57X4W,43–45,537.07,0.80,0.81,,,,,,,,
1168A,57X4W,48–51,537.12,0.93,0.82,,,,,,,,
1168A,57X4W,53–55,537.17,0.87,0.82,,,,,,,,
1168A,57X4W,59–61,537.23,0.33,0.84,,,,,,,,
1168A,57X4W,63–66.5,537.27,0.66,0.70,,,,,,,,
1168A,57X4W,68–70,537.32,0.70,0.63,,,,,,,,
1168A,57X4W,73–75,537.37,1.65,0.87,,,,,,,,
1168A,57X4W,78–81,537.42,1.57,0.95,,,,,,,,
1168A,57X4W,86–88,537.50,1.84,0.91,,,,,,,,
1168A,57X4W,91–93,537.55,1.88,0.84,,,,,,,,
1168A,57X4W,97–99.5,537.61,1.89,0.92,,,,,,,,
1168A,57X4W,102–104,537.66,1.92,0.95,,,,,,,,
1168A,57X4W,111–114,537.75,1.66,0.71,,,,,,,,
1168A,57X4W,116–118,537.80,1.98,1.01,,,,,,,,
1168A,57X4W,122–124,537.86,1.79,0.88,,,,,,,,
1168A,57X4W,127–129,537.91,1.71,0.80,,,,,,,,
1168A,57X4W,132–134,537.96,1.82,1.01,,,,,,,,
1168A,57X4W,137–139,538.01,1.70,0.91,,,,,,,,
1168A,57X4W,142–144,538.06,1.66,1.04,,,,,,,,
1168A,57X4W,147–149,538.11,0.37,0.71,,,,,,,,
1168A,57X4W,3–5,538.17,0.76,0.86,,,,,,,,
1168A,57X5W,11–13,538.25,0.51,0.86,,,,,,,,
1168A,57X5W,16–18,538.30,0.99,0.91,,,,,,,,
1168A,57X5W,20–23,538.34,0.82,0.86,,,,,,,,
1168A,57X5W,25–27,538.39,0.92,0.88,,,,,,,,
1168A,57X5W,30–33,538.44,0.51,0.82,,,,,,,,
1168A,57X5W,35–37,538.49,0.90,0.72,,,,,,,,
1168A,57X5W,40–43,538.54,0.62,0.67,,,,,,,,
1168A,57X5W,47.5–49.5,538.62,0.61,0.70,,,,,,,,
1168A,57X5W,53–55,538.67,-0.52,0.70,,,,,,,,
1168A,57X5W,57–59,538.71,0.58,0.80,,,,,,,,
1168A,57X5W,62–64,538.76,0.79,1.03,,,,,,,,
1168A,57X5W,67–69,538.81,0.70,0.80,,,,,,,,
1168A,57X5W,72–74,538.86,0.78,0.53,,,,,,,,
1168A,57X5W,76–78,538.90,0.70,0.75,,,,,,,,
1168A,57X5W,80–83,538.94,0.77,0.98,,,,,,,,
1168A,57X5W,86–88,539.00,0.77,0.94,,,,,,,,
1168A,57X5W,91–93,539.05,0.75,0.82,,,,,,,,
1168A,57X5W,97–100,539.11,0.96,0.96,,,,,,,,
1168A,57X5W,102–104,539.16,0.72,0.75,,,,,,,,
1168A,57X5W,107–109,539.21,0.79,0.77,,,,,,,,
1168A,57X5W,116–118,539.30,0.82,0.96,,,,,,,,
1168A,57X5W,120–122,539.34,0.86,0.82,,,,,,,,
1168A,57X5W,126–128,539.40,0.95,0.85,,,,,,,,
1168A,57X5W,131–133,539.45,0.74,0.65,,,,,,,,
1168A,57X5W,136–138,539.50,0.59,0.67,,,,,,,,
1168A,57X5W,141–143,539.55,0.68,0.74,,,,,,,,
1168A,57X5W,146–148,539.60,0.64,0.81,,,,,,,,
1168A,57X5W,4–6,539.68,0.86,0.86,,,,,,,,
1168A,57X6W,8–10,539.72,0.73,0.75,,,,,,,,
1168A,57X6W,13–15,539.77,0.82,0.80,,,,,,,,
1168A,57X6W,16–18,539.80,0.73,0.83,,,,,,,,
1168A,57X6W,21–23,539.85,0.71,0.73,,,,,,,,
1168A,57X6W,27–29,539.91,0.93,0.65,,,,,,,,
1168A,57X6W,32–34,539.96,0.71,0.65,,,,,,,,
1168A,57X6W,38–40,540.02,0.74,0.69,,,,,,,,
1168A,57X6W,43–45,540.07,0.85,0.66,,,,,,,,
1168A,57X6W,48–50,540.12,0.77,0.70,,,,,,,,
1168A,57X6W,53–55,540.17,0.68,0.57,,,,,,,,
1168A,57X6W,57–59,540.21,0.93,0.69,,,,,,,,
1168A,57X6W,63–65,540.27,0.88,0.63,,,,,,,,
1168A,57X6W,68–70,540.32,0.68,0.60,,,,,,,,
1168A,57X6W,75–77,540.39,0.75,0.65,,,,,,,,
1168A,57X6W,80–82,540.44,0.86,0.83,,,,,,,,
1168A,57X6W,85–87,540.49,0.87,0.82,,,,,,,,
1168A,57X6W,90–92,540.54,,,,,,,,,,
1168A,57X6W,95–97,540.59,1.14,0.72,,,,,,,,
1168A,57X6W,100–102,540.64,0.78,0.71,,,,,,,,
1168A,57X7W,1–3,540.65,0.55,0.48,,,,,,,,
1168A,57X7W,9–11,540.73,0.60,0.78,,,,,,,,
1168A,57X7W,14–16,540.78,0.81,0.86,,,,,,,,
1168A,57X7W,19–21,540.83,0.70,0.75,,,,,,,,
1168A,57X7W,24.5–26.5,540.89,1.15,0.82,,,,,,,,
1168A,57X7W,29–31,540.93,0.79,0.63,,,,,,,,
1168A,57X7W,34–36,540.98,0.93,0.71,,,,,,,,
1168A,57X7W,38–40,541.02,0.84,0.79,,,,,,,,
1168A,57X7W,44–48,541.08,0.69,0.60,,,,,,,,
1168A,57X7W,56–59,541.20,0.94,0.87,,,,,,,,
1168A,57X7W,63–65,541.27,0.83,0.75,,,,,,,,
1168A,57X7W,5–7,541.32,0.40,0.66,,,,,,,,
1168A,57XCCW,10–12,541.37,0.72,0.85,,,,,,,,
1168A,57XCCW,15–17,541.42,0.87,0.65,,,,,,,,
1168A,57XCCW,21.5–23.5,541.49,0.97,0.86,,,,,,,,
1168A,57XCCW,26–28,541.53,0.82,0.77,,,,,,,,
1168A,57XCCW,0–3,541.74,0.92,0.80,,,,,,,,
1168A,58X1W,8–10,541.68,-0.10,0.68,,,,,,,,
1168A,58X1W,13–15,541.73,0.68,0.79,,,,,,,,
1168A,58X1W,18–21,541.78,0.71,0.76,,,,,,,,
1168A,58X1W,23–25,541.82,1.09,0.82,,,,,,,,
1168A,58X1W,28–30,541.87,0.72,0.78,,,,,,,,
1168A,58X1W,33–35,541.92,0.83,0.83,,,,,,,,
1168A,58X1W,38–40,541.97,1.50,1.14,,,,,,,,
1168A,58X1W,45–47.5,542.04,1.61,1.20,,,,,,,,
1168A,58X1W,51–53,542.10,0.76,0.89,,,,,,,,
1168A,58X1W,56–58,542.15,0.73,0.65,,,,,,,,
1168A,58X1W,61–64.5,542.20,0.92,0.86,,,,,,,,
1168A,58X1W,66–68,542.24,0.94,0.83,,,,,,,,
1168A,58X1W,71–73,542.29,0.69,0.82,,,,,,,,
1168A,58X1W,80–82.5,542.38,1.19,0.58,,,,,,,,
1168A,58X1W,85–87,542.43,1.15,0.76,,,,,,,,
1168A,58X1W,90–92,542.48,0.76,0.81,,,,,,,,
1168A,58X1W,95–97,542.53,-0.08,1.07,,,,,,,,
1168A,58X1W,100–102,542.58,-0.64,0.90,,,,,,,,
1168A,58X1W,105–107,542.63,0.31,1.05,,,,,,,,
1168A,58X1W,110–113,542.67,0.54,0.92,,,,,,,,
1168A,58X1W,118–120,542.75,0.96,0.97,,,,,,,,
1168A,58X1W,123–125,542.80,1.27,1.02,,,,,,,,
1168A,58X1W,128–130,542.85,1.09,0.86,,,,,,,,
1168A,58X1W,133–135,542.90,1.56,1.16,,,,,,,,
1168A,58X1W,138–140,542.95,1.14,0.84,,,,,,,,
1168A,58X1W,143–145,543.00,1.31,1.00,,,,,,,,
1168A,58X1W,148–150,543.04,1.27,0.99,,,,,,,,
1168A,58X1W,0–2,543.06,1.17,0.90,,,,,,,,
1168A,58X2W,6–8,543.12,1.38,1.02,,,,,,,,
1168A,58X2W,11–13,543.17,1.61,1.14,,,,,,,,
1168A,58X2W,16–18,543.22,1.74,1.12,,,,,,,,
1168A,58X2W,22–24,543.28,1.51,1.21,,,,,,,,
1168A,58X2W,27–29,543.33,1.61,1.01,,,,,,,,
1168A,58X2W,31–33,543.37,1.81,1.20,,,,,,,,
1168A,58X2W,35–37,543.41,,,,,,,,,,
1168A,58X2W,41–43,543.46,1.85,1.25,,,,,,,,
1168A,58X2W,46–48,543.51,1.70,1.07,,,,,,,,
1168A,58X2W,51–53,543.56,1.26,1.01,,,,,,,,
1168A,58X2W,56–58,543.61,0.95,0.78,,,,,,,,
1168A,58X2W,61–63,543.66,-0.72,-0.18,,,,,,,,
1168A,58X2W,65–67,543.70,-1.25,-1.00,,,,,,,,
1168A,58X2W,70–73,543.75,-1.03,-0.67,,,,,,,,
1168A,58X2W,75–77,543.80,-0.68,-0.02,,,,,,,,
1168A,58X2W,80–82,543.85,-0.15,0.55,,,,,,,,
1168A,58X2W,85–87,543.89,0.39,0.91,,,,,,,,
1168A,58X2W,90–92,543.94,0.69,1.05,,,,,,,,
1168A,58X2W,95–97,543.99,1.02,1.05,,,,,,,,
1168A,58X2W,100–102,544.04,1.12,1.12,,,,,,,,
1168A,58X2W,105–107,544.09,1.21,1.01,,,,,,,,
1168A,58X2W,109–112,544.13,1.29,1.00,,,,,,,,
1168A,58X2W,115–117,544.19,1.22,0.92,,,,,,,,
1168A,58X2W,120–122,544.24,1.08,0.85,,,,,,,,
1168A,58X2W,125–127,544.28,1.16,0.78,,,,,,,,
1168A,58X2W,130–132,544.33,1.30,0.84,,,,,,,,
1168A,58X2W,135–137,544.38,1.37,0.83,,,,,,,,
1168A,58X2W,140–142,544.43,1.19,0.84,,,,,,,,
1168A,58X2W,144–146,544.47,0.29,0.52,,,,,,,,
1168A,58X2W,0–3,544.53,-1.58,-1.14,,,,,,,,
1168A,58X3W,5–8,544.58,-1.50,-0.82,,,,,,,,
1168A,58X3W,10–12,544.63,-1.45,-0.70,,,,,,,,
1168A,58X3W,15–17,544.67,-1.08,-0.35,,,,,,,,
1168A,58X3W,20–22.5,544.72,-0.10,0.00,,,,,,,,
1168A,58X3W,25–27,544.77,-0.29,0.04,,,,,,,,
1168A,58X3W,30–32,544.82,0.15,0.28,,,,,,,,
1168A,58X3W,36–38,544.88,0.16,0.39,,,,,,,,
1168A,58X3W,41–43,544.93,0.49,0.42,,,,,,,,
1168A,58X3W,46–48,544.98,0.72,0.57,,,,,,,,
1168A,58X3W,51–53,545.03,1.04,0.62,,,,,,,,
1168A,58X3W,55–57,545.07,0.88,0.78,,,,,,,,
1168A,58X3W,60–62,545.11,0.82,0.78,,,,,,,,
1168A,58X3W,65–67,545.16,0.57,0.76,,,,,,,,
1168A,58X3W,70–72,545.21,0.60,0.61,,,,,,,,
1168A,58X3W,75–77,545.26,0.66,0.60,,,,,,,,
1168A,58X3W,80–82,545.31,1.09,-0.15,,,,,,,,
1168A,58X3W,85–87,545.36,0.86,0.71,,,,,,,,
1168A,58X3W,90–92,545.41,0.74,0.60,,,,,,,,
1168A,58X3W,95–97,545.46,0.60,0.94,,,,,,,,
1168A,58X3W,100–103,545.50,0.18,0.52,,,,,,,,
1168A,58X3W,105–107,545.55,0.30,0.59,,,,,,,,
1168A,58X3W,110–112,545.60,0.34,0.61,,,,,,,,
1168A,58X3W,115–117,545.65,0.56,0.71,,,,,,,,
1168A,58X3W,120–122,545.70,0.40,0.68,,,,,,,,
1168A,58X3W,125–127,545.75,0.46,0.70,,,,,,,,
1168A,58X3W,130–132,545.80,0.42,0.70,,,,,,,,
1168A,58X3W,135–137,545.85,0.67,0.77,,,,,,,,
1168A,58X3W,140–143,545.89,0.46,0.55,,,,,,,,
1168A,58X3W,145–147,545.94,0.53,0.78,,,,,,,,
1168A,58X3W,0–2,545.99,-0.14,0.68,,,,,,,,
1168A,58X4W,5–8,546.04,-0.21,0.66,,,,,,,,
1168A,58X4W,10–12,546.09,-0.54,0.62,,,,,,,,
1168A,58X4W,15–17,546.14,-0.70,0.64,,,,,,,,
1168A,58X4W,20–22,546.19,-0.97,0.42,,,,,,,,
1168A,58X4W,25–27,546.24,-0.32,0.72,,,,,,,,
1168A,58X4W,29–32,546.28,-0.05,0.79,,,,,,,,
1168A,58X4W,34–36,546.32,-0.09,0.71,,,,,,,,
1168A,58X4W,39–41,546.37,0.43,0.74,,,,,,,,
1168A,58X4W,44–46,546.42,0.46,0.69,,,,,,,,
1168A,58X4W,49–51,546.47,0.53,0.68,,,,,,,,
1168A,58X4W,54–56,546.52,0.70,0.75,,,,,,,,
1168A,58X4W,59–62,546.57,0.82,0.77,,,,,,,,
1168A,58X4W,65–67,546.63,1.07,0.84,,,,,,,,
1168A,58X4W,70–72,546.68,0.98,0.71,,,,,,,,
1168A,58X4W,75–77,546.72,0.88,0.75,,,,,,,,
1168A,58X4W,80–82,546.77,0.93,0.69,,,,,,,,
1168A,58X4W,85–87,546.82,1.09,0.78,,,,,,,,
1168A,58X4W,90–92,546.87,1.09,0.75,,,,,,,,
1168A,58X4W,95–97,546.92,0.95,0.66,,,,,,,,
1168A,58X4W,99–102,546.96,1.19,0.77,,,,,,,,
1168A,58X4W,104–106,547.01,1.19,0.74,,,,,,,,
1168A,58X4W,109–111,547.06,1.10,0.76,,,,,,,,
1168A,58X4W,114–116,547.10,0.95,0.77,,,,,,,,
1168A,58X4W,119–121,547.15,0.91,0.79,,,,,,,,
1168A,58X4W,124–126,547.20,0.44,0.72,,,,,,,,
1168A,58X4W,129–131,547.25,0.20,0.73,,,,,,,,
1168A,58X4W,134–136,547.30,-0.05,0.60,,,,,,,,
1168A,58X4W,139–141,547.35,-0.32,0.58,,,,,,,,
1168A,58X4W,144–146,547.40,-0.19,0.53,,,,,,,,
1168A,58X4W,0–2,547.46,0.16,0.71,,,,,,,,
1168A,58X5W,5–7,547.50,0.28,0.67,,,,,,,,
1168A,58X5W,10–13,547.55,0.41,0.71,,,,,,,,
1168A,58X5W,15–18,547.60,0.35,0.61,,,,,,,,
1168A,58X5W,21–23,547.66,0.52,0.74,,,,,,,,
1168A,58X5W,26–28,547.71,0.49,0.75,,,,,,,,
1168A,58X5W,31–33,547.76,0.36,0.70,,,,,,,,
1168A,58X5W,36–38,547.81,0.35,0.72,,,,,,,,
1168A,58X5W,40–42,547.85,0.49,0.69,,,,,,,,
1168A,58X5W,46–48,547.90,0.60,0.75,,,,,,,,
1168A,58X5W,51–53,547.95,0.56,0.67,,,,,,,,
1168A,58X5W,56–58,548.00,0.55,0.65,,,,,,,,
1168A,58X5W,62–65,548.06,0.64,0.72,,,,,,,,
1168A,58X5W,67–69,548.11,0.53,0.64,,,,,,,,
1168A,58X5W,72–75,548.16,0.55,0.71,,,,,,,,
1168A,58X5W,77–79,548.21,0.62,0.77,,,,,,,,
1168A,58X5W,82–84,548.26,0.59,0.71,,,,,,,,
1168A,58X5W,87–90,548.30,0.60,0.81,,,,,,,,
1168A,58X5W,92–94,548.35,0.53,0.69,,,,,,,,
1168A,58X5W,97–99,548.40,0.63,0.81,,,,,,,,
1168A,58X5W,102–104,548.45,0.42,0.79,,,,,,,,
1168A,58X5W,107–109,548.50,0.62,0.89,,,,,,,,
1168A,58X5W,112–114,548.55,0.63,0.84,,,,,,,,
1168A,58X5W,117–119,548.60,0.31,0.75,,,,,,,,
1168A,58X5W,122–124,548.65,0.45,0.84,,,,,,,,
1168A,58X5W,127–129,548.70,0.22,0.78,,,,,,,,
1168A,58X5W,132–134,548.74,0.16,0.78,,,,,,,,
1168A,58X5W,137–139,548.79,0.24,0.73,,,,,,,,
1168A,58X5W,143–145,548.85,0.37,0.76,,,,,,,,
1168A,58X5W,148–150,548.90,0.61,0.79,,,,,,,,
1168A,58X5W,1–3,548.93,0.62,0.85,,,,,,,,
1168A,58X6W,5–7,548.97,0.41,0.70,,,,,,,,
1168A,58X6W,10–12,549.02,0.58,0.84,,,,,,,,
1168A,58X6W,15–17,549.07,0.52,0.83,,,,,,,,
1168A,58X6W,20–22,549.11,0.54,0.79,,,,,,,,
1168A,58X6W,25–27,549.16,0.55,0.81,,,,,,,,
1168A,58X6W,30–32,549.21,0.69,0.77,,,,,,,,
1168A,58X6W,35–37,549.26,0.81,0.75,,,,,,,,
1168A,58X6W,40–43,549.31,0.98,0.77,,,,,,,,
1168A,58X6W,45–47,549.36,1.01,0.71,,,,,,,,
1168A,58X6W,49–52,549.40,1.18,0.86,,,,,,,,
1168A,58X6W,55–57,549.46,1.11,0.76,,,,,,,,
1168A,58X6W,60–62,549.51,0.66,0.75,,,,,,,,
1168A,58X6W,65–67,549.55,0.28,0.89,,,,,,,,
1168A,58X6W,70–72,549.60,0.20,0.86,,,,,,,,
1168A,58X6W,75–77,549.65,0.11,0.77,,,,,,,,
1168A,58X6W,80–82,549.70,0.28,0.92,,,,,,,,
1168A,58X6W,85–87,549.75,0.25,0.81,,,,,,,,
1168A,58X6W,90–92,549.80,0.13,0.98,,,,,,,,
1168A,58X6W,95–97,549.85,0.70,0.78,,,,,,,,
1168A,58X6W,100–102,549.90,0.93,0.77,,,,,,,,
1168A,58X6W,105–107,549.94,0.89,0.71,,,,,,,,
1168A,58X6W,110–112,549.99,0.98,0.84,,,,,,,,
1168A,58X6W,114–116,550.03,0.90,0.72,,,,,,,,
1168A,58X6W,120–122,550.09,0.68,0.57,,,,,,,,
1168A,58X6W,125–127,550.14,0.31,0.80,,,,,,,,
1168A,58X6W,130–133,550.19,-0.06,0.70,,,,,,,,
1168A,58X6W,0–2,550.26,-0.29,0.68,,,,,,,,
1168A,58X7W,5–7,550.31,-0.32,0.72,,,,,,,,
1168A,58X7W,10–12,550.35,-0.49,0.68,,,,,,,,
1168A,58X7W,15–17,550.40,-0.55,0.79,,,,,,,,
1168A,58X7W,21–23,550.46,-0.48,0.74,,,,,,,,
1168A,58X7W,26–28,550.51,-0.68,0.78,,,,,,,,
1168A,58X7W,31–33,550.56,-0.82,0.85,,,,,,,,
1168A,58X7W,36–38,550.61,-0.80,0.81,,,,,,,,
1168A,58X7W,40–43,550.65,-0.91,0.85,,,,,,,,
1168A,58X7W,46–48,550.71,-1.03,0.92,,,,,,,,
1168A,58X7W,51–53,550.75,-0.97,0.89,,,,,,,,
1168A,58X7W,2–4,550.83,-0.98,0.95,,,,,,,,
1168A,58XCCW,7–9,550.88,-0.09,0.85,,,,,,,,
1168A,58XCCW,12–14,550.93,0.10,0.87,,,,,,,,
1168A,58XCCW,17–19,550.98,-0.05,0.79,,,,,,,,
1168A,58XCCW,22–24,551.03,0.06,0.73,,,,,,,,
1168A,58XCCW,0–2,551.30,1.10,0.99,,,,,,,,
1168A,59X1W,5–7,551.59,0.19,0.81,,,,,,,,
1168A,59X1W,9–11,551.63,-0.94,0.86,,,,,,,,
1168A,59X1W,13–15,551.67,-0.51,0.88,,,,,,,,
1168A,59X1W,17–19,551.70,-0.20,0.75,,,,,,,,
1168A,59X1W,24–26,551.77,-0.01,0.76,,,,,,,,
1168A,59X1W,29–31,551.82,0.12,0.83,,,,,,,,
1168A,59X1W,34–36,551.87,0.17,0.78,,,,,,,,
1168A,59X1W,41–43,551.94,0.41,0.76,,,,,,,,
1168A,59X1W,46–48,551.98,0.32,0.81,,,,,,,,
1168A,59X1W,51–53,552.03,0.40,0.75,,,,,,,,
1168A,59X1W,57–59,552.09,0.61,0.79,,,,,,,,
1168A,59X1W,62–64,552.14,0.58,0.67,,,,,,,,
1168A,59X1W,67–69,552.19,0.69,0.86,,,,,,,,
1168A,59X1W,72–74,552.23,0.62,0.83,,,,,,,,
1168A,59X1W,77–79,552.28,0.47,0.75,,,,,,,,
1168A,59X1W,82–84,552.33,0.59,0.77,,,,,,,,
1168A,59X1W,86–89,552.37,0.67,0.87,,,,,,,,
1168A,59X1W,91–93,552.42,0.52,0.72,,,,,,,,
1168A,59X1W,96–98,552.46,0.61,0.82,,,,,,,,
1168A,59X1W,101–103,552.51,0.72,0.87,,,,,,,,
1168A,59X1W,106–108,552.56,0.86,0.91,,,,,,,,
1168A,59X1W,111–114,552.61,0.79,0.81,,,,,,,,
1168A,59X1W,116–118,552.66,0.76,0.82,,,,,,,,
1168A,59X1W,121–123,552.71,0.80,0.94,,,,,,,,
1168A,59X1W,126–128,552.75,0.76,0.75,,,,,,,,
1168A,59X1W,131–133,552.80,0.69,0.72,,,,,,,,
1168A,59X1W,136–138,552.85,0.85,0.84,,,,,,,,
1168A,59X1W,141–143,552.90,0.69,0.70,,,,,,,,
1168A,59X1W,146–148,552.95,0.75,0.67,,,,,,,,
1168A,59X1W,2–5,553.00,0.99,0.75,,,,,,,,
1168A,59X2W,7–9,553.05,0.84,0.75,,,,,,,,
1168A,59X2W,12–14,553.10,0.86,0.77,,,,,,,,
1168A,59X2W,17–19,553.15,1.07,0.78,,,,,,,,
1168A,59X2W,22–24,553.20,0.91,0.83,,,,,,,,
1168A,59X2W,27–29,553.24,0.90,0.73,,,,,,,,
1168A,59X2W,32–34,553.29,0.84,0.75,,,,,,,,
1168A,59X2W,37–39,553.34,0.88,0.80,,,,,,,,
1168A,59X2W,42–44,553.39,0.90,0.76,,,,,,,,
1168A,59X2W,47–49,553.44,1.09,0.79,,,,,,,,
1168A,59X2W,52–54,553.49,0.85,0.74,,,,,,,,
1168A,59X2W,57–59,553.53,0.98,0.77,,,,,,,,
1168A,59X2W,64–67,553.60,0.91,0.73,,,,,,,,